cbsa,period,num0,num1,wsum,fb0,fb1,h0,pop0,pop1,hc0,hn0,hn1,dlog,imm_pc,hisp_pc,_w,period_fe
10180,A,1.6531e+07,1.94194e+07,21367,8099,8454,0.248065,156312,159412,42,33461,36972,0.161034,0.0022711,0.0224615,156312,A
10180,B,2.07828e+07,2.5035e+07,22705,8412,10404,0.270395,158099,167577,41,36642,40543,0.186149,0.0125997,0.0246744,158099,B
10420,A,6.72664e+07,7.31e+07,89114,27278,32370,0.0168413,675035,674880,162,10976,13493,0.0831674,0.00754331,0.00372869,675035,A
10420,B,7.88746e+07,9.72305e+07,94849,31980,34978,0.0208641,673590,667883,163,13580,16947,0.209224,0.00445078,0.00499859,673590,B
10500,A,1.70495e+07,1.79126e+07,24683,3773,3643,0.0210049,156174,151903,42,3446,4066,0.0493829,-0.000832405,0.00396994,156174,A
10500,B,1.93035e+07,2.39131e+07,26248,3654,3636,0.0289468,151523,148500,42,3928,4262,0.214143,-0.000118794,0.00220426,151523,B
10540,A,1.19895e+07,1.36471e+07,14870,5184,5617,0.0819754,117648,122870,21,9371.01,10910,0.129497,0.00368047,0.0130813,117648,A
10540,B,1.5808e+07,2.17982e+07,17120,5617,5521,0.0915716,122870,129794,21,10910,13343,0.321312,-0.000781314,0.0198014,122870,B
10580,A,1.04789e+08,1.17003e+08,118079,59364,67961,0.0458639,848845,854607,209,36958,42624,0.110252,0.0101279,0.00667495,848845,A
10580,B,1.24195e+08,1.55763e+08,124640,65204,71988,0.0536799,824427,845294,202,41665,52078,0.226481,0.00822875,0.0126306,824427,B
10740,A,8.95175e+07,9.68299e+07,109515,84823,80954,0.454051,855113,867014,191,405269,427086,0.0785215,-0.00452455,0.0255136,855113,A
10740,B,1.02169e+08,1.30059e+08,113865,81654,82875,0.473364,879268,890789,192,433659,433955,0.241359,0.00138866,0.000336648,879268,B
10780,A,1.22527e+07,1.39275e+07,17740,3806,4402,0.0216127,151877,151506,36,4386,5151,0.128119,0.00392423,0.005037,151877,A
10780,B,1.66364e+07,1.94224e+07,20900,4337,4882,0.0271155,150671,147871,36,5153,6500,0.154838,0.00361715,0.00893998,150671,B
10900,A,8.13292e+07,9.08065e+07,88609,64376,74201,0.144841,795222,806711,171,110739,134883,0.110226,0.012355,0.0303614,795222,A
10900,B,1.00871e+08,1.2761e+08,96160,74618,88419,0.167627,814511,844484,173,132706,160720,0.23514,0.0169439,0.0343937,814511,B
11020,A,8.76989e+06,1.01997e+07,14201,1584,1517,0.0101913,126940,123842,34,1292,1508,0.151031,-0.000527808,0.00170159,126940,A
11020,B,1.07357e+07,1.28629e+07,15006,1319,1489,0.0133825,119549,117373,32,1450,1699,0.180773,0.00142201,0.00208284,119549,B
11100,A,2.40918e+07,2.8007e+07,33195,22567,26629,0.25861,254583,263412,66,65969,74667,0.15058,0.0159555,0.0341658,254583,A
11100,B,2.94922e+07,3.6714e+07,34886,26629,24704,0.289379,263412,270195,66,74667,80639,0.219032,-0.00730794,0.0226717,263412,B
11180,A,1.15583e+07,1.39205e+07,15813,7270,9270,0.0264344,85071,90552,18,2458,3109,0.185964,0.0235098,0.00765242,85071,A
11180,B,1.56555e+07,1.8034e+07,17570,9270,8033,0.0338857,90552,93173,18,3109,4659,0.141439,-0.0136607,0.0171173,90552,B
11260,A,5.5517e+07,6.24163e+07,47843,30117,34153,0.0681632,362715,375785,75,25756,30401,0.117137,0.0111272,0.0128062,362715,A
11260,B,6.41026e+07,7.21716e+07,48184,34673,34382,0.0761782,384732,384719,75,31127,31573,0.118561,-0.000756371,0.00115924,384732,B
11460,A,4.92118e+07,5.81103e+07,52410,35085,40761,0.0432126,309482,324766,87,13235,15575,0.166209,0.0183403,0.00756104,309482,A
11460,B,6.08351e+07,7.91498e+07,54367,41705,43480,0.0491663,321314,324106,87,15337,18783,0.263175,0.00552419,0.0107247,321314,B
11500,A,8.54862e+06,9.65027e+06,14168,2822,3059,0.0292762,117710,115098,28,3953,4203,0.121216,0.00201342,0.00212387,117710,A
11500,B,9.23961e+06,1.0956e+07,13390,3052,2695,0.0349619,110340,111879,27,4129,5109,0.170388,-0.00323545,0.00888164,110340,B
11540,A,1.60435e+07,1.74045e+07,22604,8213,8401,0.0377329,216116,222644,48,8293,9573,0.0814204,0.000869903,0.00592277,216116,A
11540,B,1.9528e+07,2.46913e+07,25144,8401,9150,0.0439946,222644,231138,48,9573,12300,0.234599,0.00336411,0.0122482,222644,B
11700,A,4.33276e+07,4.83074e+07,55876,23877,24370,0.0608661,418546,438801,100,27554,30478,0.108795,0.00117789,0.00698608,418546,A
11700,B,5.31798e+07,7.15492e+07,61013,24270,29421,0.0649489,438934,462058,100,30233,40644,0.296707,0.0117352,0.0237188,438934,B
12020,A,2.27552e+07,2.44334e+07,29228,15102,15850,0.0778413,192665,203518,45,15647,17218,0.0711589,0.00388239,0.00815405,192665,A
12020,B,2.90107e+07,4.00323e+07,34605,15813,17094,0.0860091,201580,214680,44,17170,19737,0.322023,0.0063548,0.0127344,201580,B
12060,A,6.3528e+08,7.32959e+08,654911,694586,757961,0.103937,5176864,5563385,903,546396,600272,0.143023,0.012242,0.0104071,5176864,A
12060,B,8.42427e+08,1.16346e+09,751920,758928,880214,0.106683,5480740,5865689,891,595236,725921,0.322868,0.0221295,0.0238444,5480740,B
12100,A,3.22493e+07,3.41674e+07,31839,44183,42414,0.176903,259701,255612,62,46800,49116,0.057776,-0.00681168,0.00891796,259701,A
12100,B,3.45626e+07,4.14538e+07,32379,42616,43203,0.195075,257313,262596,63,49315,53316,0.181808,0.00228127,0.0155491,257313,B
12220,A,1.64013e+07,1.74068e+07,21411,7355,8685,0.0300761,144405,159287,27,5076,5865,0.0595013,0.00921021,0.0054638,144405,A
12220,B,1.94994e+07,2.36989e+07,23552,8685,11501,0.038964,159287,177663,27,5865,9335,0.195048,0.0176788,0.0217846,159287,B
12260,A,5.03618e+07,5.69763e+07,66605,22469,27785,0.0413644,565208,589066,116,26133,31477,0.123403,0.00940539,0.00945493,565208,A
12260,B,5.91088e+07,7.48142e+07,69377,27047,26074,0.047883,561384,581589,110,29608,37885,0.235627,-0.00173322,0.0147439,561384,B
12420,A,2.75392e+08,3.33762e+08,270450,250289,295709,0.313571,1696387,1954969,327,546525,645455,0.192234,0.0267746,0.0583181,1696387,A
12420,B,3.81123e+08,5.03746e+08,306169,299856,357189,0.314662,1988681,2283589,329,649757,743155,0.278951,0.0288297,0.0469648,1988681,B
12540,A,9.70419e+07,1.05242e+08,106184,169772,170876,0.48033,815258,849690,144,411149,453933,0.0811175,0.00135417,0.0524792,815258,A
12540,B,1.11816e+08,1.43813e+08,111990,173632,177496,0.508645,860731,890990,144,455672,497970,0.251655,0.00448921,0.0491419,860731,B
12580,A,3.75756e+08,4.24165e+08,331888,226835,259475,0.0462988,2425807,2476123,597,120437,145109,0.121182,0.0134553,0.0101706,2425807,A
12580,B,4.41372e+08,5.32857e+08,341789,263070,286873,0.055476,2487721,2532726,595,145882,203433,0.188366,0.0095682,0.023134,2487721,B
12620,A,1.49917e+07,1.62918e+07,20649,4025,4108,0.0107462,152007,150255,45,1715,1998,0.0831624,0.000546027,0.00186175,152007,A
12620,B,1.46622e+07,1.84703e+07,18624,4117,4835,0.012578,149668,151620,45,1928,2947,0.230892,0.00479728,0.0068084,149668,B
12700,A,2.16352e+07,2.44044e+07,19268,13941,16146,0.0252564,203482,202151,53,4848,6012,0.120446,0.0108363,0.00572042,203482,A
12700,B,2.28573e+07,2.80996e+07,18287,15649,20510,0.0307888,189782,203989,50,5757,7853,0.206487,0.0256136,0.0110442,189782,B
12940,A,7.50094e+07,8.27163e+07,91569,28781,32427,0.034615,807697,828484,149,28111,32233,0.097804,0.00451407,0.0051034,807697,A
12940,B,8.64981e+07,1.04991e+08,94733,31523,43646,0.0383705,797788,821988,143,31471,52629,0.193748,0.0151958,0.0265208,797788,B
12980,A,1.08909e+07,1.19936e+07,16214,4920,5024,0.0494018,135534,134473,39,6211,6885,0.0964423,0.000767335,0.00497296,135534,A
12980,B,1.18706e+07,1.46806e+07,16081,4816,5559,0.0576685,126338,126423,37,6731,7137,0.212464,0.00588105,0.00321359,126338,B
13020,A,6.18329e+06,6.43315e+06,9681,1478,1530,0.0577072,107312,104786,26,5174,5503,0.0396148,0.000484568,0.00306584,107312,A
13020,B,6.50453e+06,7.93967e+06,9788,1530,1200,0.0621255,104786,103235,26,5503,6023,0.199372,-0.00314928,0.00496249,104786,B
13140,A,3.33342e+07,3.70095e+07,45916,28508,32923,0.135769,385522,390666,101,48527,56524,0.104593,0.011452,0.0207433,385522,A
13140,B,3.94805e+07,5.12585e+07,48086,32552,33645,0.161239,382380,381338,98,55620,66803,0.261073,0.00285841,0.0292458,382380,B
13220,A,7.17878e+06,7.84234e+06,11960,1595,1296,0.01123,119707,115243,28,1368,1666,0.088407,-0.00249777,0.00248941,119707,A
13220,B,7.10619e+06,8.62611e+06,10881,1104,968,0.0140126,108259,102398,26,1609,1613,0.193828,-0.00125625,3.6955e-05,108259,B
13380,A,2.68091e+07,3.07112e+07,29385,23214,22162,0.0778372,203211,216812,34,16574,19977,0.135884,-0.00517689,0.0167461,203211,A
13380,B,3.36352e+07,4.74986e+07,32220,22148,22463,0.0891518,215965,227412,33,19964,23586,0.345128,0.00145857,0.0167713,215965,B
13460,A,2.08913e+07,2.6024e+07,22176,6971,8010,0.0768539,156753,176891,22,11984,14136,0.219687,0.00662826,0.0137285,156753,A
13460,B,2.86441e+07,4.08337e+07,24569,7909,9709,0.0821794,174372,195644,21,14080,17907,0.354559,0.0103228,0.0219474,174372,B
13740,A,1.50505e+07,1.71099e+07,20088,2548,3376,0.046252,155655,162753,37,7427,8422,0.12824,0.00531946,0.00639235,155655,A
13740,B,1.85384e+07,2.31381e+07,21312,3202,3041,0.0522485,156664,164001,36,8149,10308,0.221635,-0.00102768,0.0137811,156664,B
13780,A,2.09399e+07,2.36405e+07,30856,13019,14219,0.0360271,250087,243447,65,7774,8901,0.121306,0.00479833,0.00450643,250087,A
13780,B,2.41616e+07,2.975e+07,31277,14035,14550,0.04218,232590,235643,62,8813,11512,0.208067,0.0022142,0.0116041,232590,B
13820,A,1.00152e+08,1.08273e+08,127237,43817,43125,0.043038,1071135,1086541,248,46418,48567,0.0779681,-0.000646044,0.00200628,1071135,A
13820,B,1.13816e+08,1.45029e+08,133144,42423,46235,0.0439524,1072081,1097266,244,47965,63809,0.242347,0.0035557,0.0147787,1072081,B
13900,A,8.54108e+06,1.06403e+07,12927,1235,2239,0.0156622,106070,115926,24,1613,3183,0.219762,0.00946545,0.0148016,106070,A
13900,B,1.46198e+07,1.70982e+07,17052,2444,3341,0.0277099,129070,136714,26,3351,4705,0.156596,0.00694972,0.0104904,129070,B
13980,A,1.96324e+07,2.27057e+07,25897,9714,9214,0.0215461,169659,173852,33,3756,4485,0.145433,-0.00294709,0.00429686,169659,A
13980,B,2.24319e+07,2.76255e+07,25511,9214,10394,0.0253108,173852,172347,33,4485,5883,0.208254,0.00678738,0.00804132,173852,B
14010,A,1.68234e+07,1.85874e+07,22441,10263,12268,0.0422115,184660,186598,44,7853,8733,0.0997101,0.0108578,0.00476553,184660,A
14010,B,2.08571e+07,2.44667e+07,25052,12268,12372,0.0517619,186598,183592,44,8733,11118,0.159618,0.000557348,0.0127815,186598,B
14020,A,2.16764e+07,2.37353e+07,26610,11262,12254,0.0283208,158785,164031,35,4459,5154,0.0907418,0.00624744,0.00437699,158785,A
14020,B,2.38798e+07,3.09604e+07,26712,11654,10993,0.0285609,156803,150354,34,4676,5928,0.259678,-0.00421548,0.00798455,156803,B
14100,A,6.67503e+06,7.48599e+06,9856,2271,2316,0.0212238,85400,84514,19,1846,1938,0.114659,0.000526932,0.00107729,85400,A
14100,B,7.9773e+06,9.64775e+06,10458,2316,2760,0.0220134,84514,83134,19,1938,2924,0.190126,0.00525357,0.0116667,84514,B
14260,A,5.77092e+07,6.51203e+07,71145,41455,45200,0.133559,623234,687000,94,79566,93342,0.12082,0.00600898,0.0221041,623234,A
14260,B,7.27861e+07,1.09511e+08,78902,45200,52166,0.140561,687000,783996,94,93342,115588,0.408505,0.0101397,0.0323814,687000,B
14460,A,7.8304e+08,9.20768e+08,649410,735025,851872,0.106228,4295474,4488170,920,421614,512327,0.162024,0.0272024,0.0211183,4295474,A
14460,B,9.75227e+08,1.3246e+09,677130,848197,917433,0.123297,4371747,4481507,898,507346,574642,0.306198,0.0158371,0.0153934,4371747,B
14500,A,4.93381e+07,6.24351e+07,43732,30984,32841,0.130881,285873,305909,63,39059,42981,0.235431,0.00649589,0.0137194,285873,A
14500,B,6.76096e+07,9.0186e+07,47218,33258,31648,0.134199,306026,313235,62,43029,47079,0.288125,-0.00526099,0.0132341,306026,B
14540,A,1.43002e+07,1.60656e+07,22148,9528,12205,0.0393121,160444,171808,38,6263,7563,0.116406,0.0166849,0.00810253,160444,A
14540,B,1.761e+07,2.165e+07,24061,11991,14264,0.0396765,166027,178728,37,7407,10779,0.206539,0.0136905,0.02031,166027,B
14740,A,3.29825e+07,3.79329e+07,31745,16378,16848,0.0675613,250726,260046,53,16473,19504,0.139842,0.00187456,0.0120889,250726,A
14740,B,4.04394e+07,5.95299e+07,33944,16848,18734,0.0740417,260046,273758,53,19504,24609,0.386675,0.00725256,0.0196312,260046,B
14860,A,1.24698e+08,1.42321e+08,96293,160443,173382,0.214561,703456,718207,158,147663,167446,0.132195,0.0183935,0.0281226,703456,A
15180,A,2.43491e+07,2.6846e+07,37847,98857,97215,0.883945,400879,411847,82,353946,368750,0.0976217,-0.004096,0.0369289,400879,A
15180,B,2.87895e+07,3.671e+07,40244,96308,93375,0.899254,407674,408666,81,366577,367592,0.243037,-0.00719447,0.00248972,407674,B
15260,A,1.11911e+07,1.29572e+07,14223,4963,5118,0.0499494,112831,116655,21,5753,6109,0.146531,0.00137374,0.00315513,112831,A
15260,B,1.4065e+07,1.75666e+07,15407,5118,5534,0.0489073,116655,114345,21,6109,7060,0.222311,0.00356607,0.00815224,116655,B
15380,A,1.11605e+08,1.24869e+08,157046,62189,69086,0.045326,1079696,1075992,282,45459,52821,0.112297,0.00638791,0.00681859,1079696,A
15380,B,1.28593e+08,1.63263e+08,160571,68659,72463,0.0539885,1054838,1087284,278,52443,65308,0.238708,0.00360624,0.0121962,1054838,B
15500,A,1.48368e+07,1.5796e+07,19759,11599,12655,0.110425,152472,160576,36,17223,19905,0.0626481,0.00692586,0.0175902,152472,A
15500,B,1.81751e+07,2.31197e+07,22391,12655,15930,0.11531,160576,174286,36,19905,25716,0.240633,0.0203953,0.0361884,160576,B
15540,A,2.674e+07,3.19896e+07,26730,12295,15568,0.018021,205962,211308,44,3643,4525,0.179249,0.0158913,0.00428234,205962,A
15540,B,3.52845e+07,4.38109e+07,29379,16097,15017,0.0221993,215272,223757,45,4560,5891,0.216439,-0.00501691,0.00618288,215272,B
15680,A,1.23991e+07,1.38404e+07,10189,4211,5382,0.0432329,107079,111531,17,4375,5520.99,0.109968,0.0109359,0.0107023,107079,A
15680,B,1.52883e+07,1.86057e+07,11233,4938,4972,0.051234,101110,108152,15,5190.99,6703,0.196381,0.000336267,0.0149541,101110,B
15940,A,3.06398e+07,3.37027e+07,47278,7341,7844,0.0165353,398425,395382,91,6534,7785,0.0952772,0.00126247,0.00313986,398425,A
15940,B,3.63056e+07,4.39903e+07,50855,7844,7784,0.0206732,395382,394802,91,7785,10837,0.191997,-0.000151752,0.00771912,395382,B
15980,A,6.20956e+07,7.2941e+07,65481,89799,110298,0.15906,589042,663897,144,110268,138818,0.160975,0.0348006,0.0484685,589042,A
15980,B,8.83661e+07,1.26645e+08,77873,113932,135663,0.185564,680535,750619,144,143136,179778,0.359903,0.0319322,0.0538429,680535,B
16020,A,7.68251e+06,8.97183e+06,11761,1948,2376,0.0202077,96710,97137,23,1857,1997,0.155143,0.0044256,0.00144763,96710,A
16020,B,9.09526e+06,1.00388e+07,11559,2348,1991,0.0198346,95740,96715,22,1969,2572,0.0986992,-0.00372885,0.0062983,95740,B
16060,A,1.19342e+07,1.30137e+07,18509,4595,4393,0.0295944,126661,125850,29,3838,4279,0.0865925,-0.00159481,0.00348173,126661,A
16060,B,1.37732e+07,1.54408e+07,19564,4393,4346,0.0338063,125850,119608,29,4279,4653,0.114291,-0.00037346,0.00297182,125850,B
16180,A,8.01492e+06,8.08714e+06,8887,6052,6634,0.208861,54821,54467,13,11992,12931,0.00896997,0.0106164,0.0171283,54821,A
16180,B,9.07678e+06,1.15618e+07,9950,6634,7381,0.224028,54467,58364,13,12931,15105,0.241987,0.0137147,0.0399143,54467,B
16220,A,7.60745e+06,8.33303e+06,9431,1774,2088,0.0767882,77343,80610,18,5685,6723,0.0910984,0.00405984,0.0134207,77343,A
16220,B,9.66299e+06,1.09201e+07,10828,2088,1901,0.0862592,80610,79735,18,6723,7381,0.122304,-0.00231981,0.00816272,80610,B
16300,A,1.74886e+07,1.89273e+07,26454,6360,9017,0.0249552,248449,254431,55,6356,7501,0.0790578,0.0106943,0.0046086,248449,A
16300,B,1.91454e+07,2.39668e+07,26444,9017,11984,0.0298684,254431,261638,55,7501,9694,0.224605,0.0116613,0.00861923,254431,B
16540,A,1.20918e+07,1.35951e+07,15706,5252,5443,0.0524435,150594,153751,27,6780,8354,0.117182,0.00126831,0.010452,150594,A
16540,B,1.5666e+07,1.90837e+07,18051,5443,6131,0.0600029,153751,156626,27,8354,11218,0.197344,0.00447477,0.0186276,153751,B
16580,A,3.10389e+07,3.2421e+07,38149,23969,25400,0.049641,233039,239273,52,11406,12879,0.0435635,0.0061406,0.00632082,233039,A
16580,B,3.53248e+07,4.23664e+07,41174,25400,28326,0.0533699,239273,236196,52,12879,17510,0.181769,0.0122287,0.0193545,239273,B
16620,A,1.75292e+07,1.93217e+07,26775,2962,3586,0.0111605,226180,217312,64,2041,2084,0.0973593,0.00275886,0.000190116,226180,A
16620,B,1.98813e+07,2.40309e+07,27473,3577,3248,0.0100847,214681,204780,63,2023,2681,0.189562,-0.00153251,0.00306501,214681,B
16700,A,8.66227e+07,1.0186e+08,90183,35278,36960,0.0512199,670562,744404,150,35925,40665,0.162034,0.00250834,0.00706868,670562,A
16700,B,1.09128e+08,1.44928e+08,96072,36526,50025,0.0562961,726894,784713,144,40399,60404,0.283716,0.0185708,0.0275212,726894,B
16740,A,2.30452e+08,2.69566e+08,274327,198448,232147,0.0918964,2154202,2348427,510,203022,239068,0.156772,0.0156434,0.0167329,2154202,A
16740,B,3.17814e+08,4.28218e+08,315818,238674,300028,0.101673,2391328,2601878,516,244502,321554,0.298167,0.0256569,0.0322214,2391328,B
16820,A,2.95362e+07,3.25189e+07,29020,17398,20060,0.0455589,220802,230905,48,9901,11735,0.0962041,0.0120561,0.00830612,220802,A
16820,B,3.60997e+07,4.73248e+07,31853,19670,19471,0.0495637,227746,239851,47,11540,15238,0.270749,-0.00087378,0.0162374,227746,B
16860,A,4.77492e+07,5.35036e+07,66457,19788,21162,0.0402837,525924,545657,116,19592,24257,0.113787,0.00261254,0.00887011,525924,A
16860,B,5.63121e+07,7.56555e+07,69368,20938,25988,0.0466905,539537,554992,115,24251,34523,0.29528,0.00935988,0.0190385,539537,B
16940,A,9.24281e+06,1.0491e+07,11664,2500,3032,0.135445,87704,92237,19,12199,13809,0.126673,0.00606586,0.0183572,87704,A
16940,B,1.0836e+07,1.32222e+07,11847,3137,3467,0.145672,97692,100661,20,14138,15755,0.199019,0.00337796,0.0165519,97692,B
16980,A,1.1515e+09,1.30318e+09,1.15119e+06,1577539,1587916,0.21456,8767221,8806241,2030,1.92949e+06,2.02899e+06,0.123744,0.00118361,0.0113489,8767221,A
16980,B,1.39997e+09,1.73964e+09,1.22164e+06,1604244,1639013,0.223675,8873727,8878213,2033,2.02993e+06,2.17098e+06,0.217227,0.0039182,0.0158955,8873727,B
17020,A,3.0917e+07,3.50183e+07,33811,16511,17166,0.149796,220542,227075,51,32084,36358,0.124563,0.00296996,0.0193795,220542,A
17020,B,3.65868e+07,4.81761e+07,35249,17078,16784,0.166168,224075,208375,50,36273,40682,0.275175,-0.00131206,0.0196765,224075,B
17140,A,1.95471e+08,2.16724e+08,260301,82771,95429,0.0274813,2002891,2043563,468,55482,65449,0.103212,0.00631986,0.0049763,2002891,A
17140,B,2.33729e+08,3.00098e+08,280381,94641,120442,0.0328882,2010873,2090933,461,64609,93634,0.249948,0.0128307,0.014434,2010873,B
17300,A,3.09576e+07,3.52212e+07,38276,11902,11589,0.0729972,262139,278117,58,19643,24716,0.129027,-0.00119402,0.0193523,262139,A
17300,B,4.05732e+07,5.02983e+07,43098,11547,17195,0.0828933,276894,310909,57,24479,30642,0.214862,0.0203977,0.0222576,276894,B
17420,A,9.35377e+06,1.053e+07,13786,4312,6253,0.0483217,116793,121339,24,5238,6552,0.118451,0.0166191,0.0112507,116793,A
17420,B,1.19178e+07,1.48254e+07,15496,6253,6435,0.0604646,121339,127445,24,6552,9196,0.218307,0.00149993,0.0217902,121339,B
17460,A,2.1204e+08,2.28478e+08,280969,109739,110874,0.055527,1956486,1947960,597,98666,114742,0.0746611,0.000580122,0.00821677,1956486,A
17460,B,2.32307e+08,2.90824e+08,282661,107590,113544,0.0627673,1837336,1887138,550,109927,132076,0.224661,0.00324056,0.012055,1837336,B
17660,A,1.38004e+07,1.56667e+07,16315,3189,3466,0.0387299,139122,151282,24,5564,6847,0.126838,0.00199106,0.00922211,139122,A
17660,B,1.73571e+07,2.4504e+07,17862,3531,4295,0.0447072,153605,177736,25,6918,9663,0.344837,0.0049738,0.0178705,153605,B
17780,A,3.4779e+07,3.81452e+07,40744,26516,30577,0.220709,213088,235048,47,50587,59428,0.0923848,0.0190579,0.0414899,213088,A
17780,B,4.29389e+07,5.15611e+07,45256,30682,29669,0.243985,236672,251009,47,59512,67905,0.182989,-0.00428019,0.0354626,236672,B
17820,A,7.71745e+07,9.43928e+07,83941,41955,45036,0.149568,605140,655193,127,91640,108801,0.201396,0.00509138,0.0283588,605140,A
17820,B,1.03055e+08,1.43986e+08,90908,45859,47240,0.167063,654850,698758,125,110707,129742,0.334451,0.00210888,0.0290677,654850,B
17860,A,2.20433e+07,2.42864e+07,28191,10435,11675,0.0332199,165776,176515,29,5128,5950,0.0969093,0.00747997,0.0049585,165776,A
17860,B,2.68307e+07,3.29362e+07,31271,11675,12090,0.035878,176515,185874,29,5950,8133.99,0.205025,0.00235107,0.0123729,176515,B
17900,A,7.6913e+07,8.46434e+07,92909,36647,39480,0.0486019,748550,787799,182,37755,41712,0.0957718,0.00378465,0.00528621,748550,A
17900,B,9.20935e+07,1.14602e+08,98623,38847,45039,0.0500284,780593,808482,178,40917,54307,0.21866,0.00793243,0.0171536,780593,B
17980,A,3.56138e+07,3.80967e+07,45293,12898,12832,0.060254,281444,287430,73,16490,19046,0.0673941,-0.000234505,0.00908174,281444,A
17980,B,4.57367e+07,5.42033e+07,51483,13577,13959,0.0688215,304591,312869,76,21142,23941,0.169839,0.00125414,0.00918936,304591,B
18020,A,6.86309e+06,7.64037e+06,8744,5934,8520,0.0574778,77930,81893,15,4841,5423,0.107289,0.0331836,0.0074683,77930,A
18020,B,8.14816e+06,9.74934e+06,9082,8520,8694,0.0596151,81893,82881,15,5423,7445,0.179408,0.00212472,0.0246907,81893,B
18140,A,2.21182e+08,2.52142e+08,273031,126653,156303,0.0386649,1830458,1951306,410,66564,80613,0.131006,0.0161981,0.00767513,1830458,A
18140,B,2.79059e+08,3.63194e+08,299757,157179,198861,0.0441894,1960675,2063708,411,81257,111725,0.263515,0.021259,0.0155395,1960675,B
18580,A,5.09897e+07,6.08785e+07,60795,30184,35699,0.589472,425291,442303,98,249422,269122,0.177258,0.0129676,0.0463212,425291,A
18580,B,6.36041e+07,7.80831e+07,63960,36440,34373,0.610998,448929,444381,100,272216,263899,0.205095,-0.00460429,-0.0185263,448929,B
18700,A,1.13679e+07,1.45017e+07,14038,7587,9353,0.0665778,85989,89780,18,5688,6545.01,0.243466,0.0205375,0.00996644,85989,A
18700,B,1.54769e+07,2.06437e+07,14929,8923,9141,0.0756034,86431,93065,17,6333.01,8646,0.288059,0.00252224,0.0267611,86431,B
18880,A,3.03846e+07,3.325e+07,30573,14951,17820,0.075357,240035,263129,51,17016,21658,0.0901203,0.0119524,0.0193388,240035,A
18880,B,3.88161e+07,5.38874e+07,35518,18073,24156,0.0911544,266595,294127,52,22147,29793,0.328062,0.0228174,0.0286802,266595,B
19060,A,7.54792e+06,8.54464e+06,12745,1606,1665,0.0125896,102409,99255,30,1342,1504,0.124033,0.000576121,0.00158189,102409,A
19060,B,7.6278e+06,8.35941e+06,11372,1665,1600,0.0144519,96401,94684,29,1459,1576,0.0915876,-0.000674267,0.00121368,96401,B
19100,A,8.24027e+08,9.71461e+08,880561,1077596,1243763,0.292178,6105871,6722591,1209,1.75694e+06,2.01035e+06,0.164598,0.0272143,0.041504,6105871,A
19100,B,1.12627e+09,1.52787e+09,1.00392e+06,1268944,1422038,0.303417,6863821,7493931,1224,2.01121e+06,2.2449e+06,0.304961,0.0223045,0.0340471,6863821,B
19140,A,1.0806e+07,1.14453e+07,16218,21445,22298,0.2526,142060,143406,26,38352,41701,0.0574737,0.00600451,0.0235746,142060,A
19140,B,1.24273e+07,1.5777e+07,17640,22298,21689,0.276109,143406,143400,26,41701,43990,0.238657,-0.00424668,0.0159617,143406,B
19180,A,5.62078e+06,6.18685e+06,9290,1718,1692,0.0426461,81147,78407,24,3572,3877,0.0959563,-0.000320406,0.00375859,81147,A
19180,B,6.40744e+06,7.6032e+06,9617,1692,1540,0.0464437,78407,73179,24,3877,3968,0.171109,-0.0019386,0.0011606,78407,B
19300,A,1.77487e+07,1.92804e+07,20058,6806,7170,0.0389856,187114,208107,31,8322,9353,0.0827768,0.00194534,0.00551002,187114,A
19300,B,1.96701e+07,2.54111e+07,20704,7135,8852,0.0421987,207487,234637,30,9329,12919,0.256083,0.00827522,0.0173023,207487,B
19340,A,3.03234e+07,3.35152e+07,44702,18084,19969,0.0877325,381142,382720,104,29942,32966,0.100081,0.00494566,0.00793407,381142,A
19340,B,3.3859e+07,4.19501e+07,45045,19894,20406,0.0948382,378598,377706,103,32764,36100,0.214277,0.00135236,0.00881146,378598,B
19380,A,8.49326e+07,9.17679e+07,114791,27358,33846,0.0227041,769750,770047,196,17415,20758,0.077405,0.00842871,0.00434298,769750,A
19380,B,9.58127e+07,1.19086e+08,119678,34344,36323,0.0273554,767022,782035,194,20554,28431,0.217453,0.00258011,0.0102696,767022,B
19460,A,9.34508e+06,1.00787e+07,15810,6517,5371,0.0626002,153682,152293,36,9784.01,10398,0.0755758,-0.00745696,0.00399523,153682,A
19460,B,9.62609e+06,1.25324e+07,15088,5237,7009,0.0737975,144561,149134,34,10084,13513,0.263843,0.0122578,0.0237201,144561,B
19500,A,8.97764e+06,9.36737e+06,13890,2320,2180,0.0201735,110262,106512,34,2149,2366,0.0424952,-0.0012697,0.00196804,110262,A
19500,B,8.63456e+06,1.03204e+07,12903,2007,2631,0.0226486,98101,94679,32,2262,2711,0.178345,0.00636079,0.0045769,98101,B
19660,A,5.69824e+07,6.39274e+07,61297,46066,51946,0.100164,582409,624822,131,65225,80414,0.115005,0.010096,0.0260796,582409,A
19660,B,7.67294e+07,1.04286e+08,73117,52319,62533,0.112962,626211,680773,130,79727,99950,0.306848,0.0163108,0.0322943,626211,B
19740,A,3.40898e+08,4.46233e+08,348174,286609,318005,0.231332,2273436,2472343,530,550502,607909,0.269258,0.0138099,0.0252512,2273436,A
19740,B,4.99469e+08,6.86398e+08,384910,324660,332399,0.231763,2539735,2644047,539,611949,649207,0.317912,0.00304717,0.01467,2539735,B
