spec_scale,gain_bn_scale,sd_bn_scale,induced_receipts_bn_scale,spec_composition,gain_bn_composition,sd_bn_composition,induced_receipts_bn_composition,net_bn,net_sd_bn,net_receipts_bn,net_per_group_member
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Ciccone-Peri city, Table 4 col 2",11.069949280063687,46.993188924622025,4.6477215484588354,49.71678231426092,47.105980784689336,20.98443718278249,1215.6710807673257
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Ciccone-Peri city, Table 4 col 1",-38.950127812072026,83.81418194662915,-16.35333924109855,-0.30329477787479675,83.87747442409648,-0.01662360677489616,-7.41614145661191
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Ciccone-Peri city, Table 4 col 4 (experience control)",27.626297832874656,49.58307048304994,11.598882016840088,66.27313086707188,49.689983889204484,27.93559765116374,1620.5056899649317
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Ciccone-Peri city, white males, Table 5 col 2",2.7699218224019675,58.15327504764135,1.1629538914203632,41.4167548565992,58.24445912830618,17.499669525744018,1012.7194237981695
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Acemoglu-Angrist state IV (QOB, CA and CL)",-11.095951392550628,97.21274273253036,-4.658653263897164,27.5508816416466,97.26731706983306,11.678062370426488,673.6721183942352
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,Acemoglu-Angrist state IV (QOB and CA),-47.338363280887876,120.35473137276078,-19.875191067508002,-8.691530246690647,120.39881637371569,-3.538475433184349,-212.52465418474043
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Iranzo-Peri basic, Table 8 col 1",-392.0259372891506,159.99886922806013,-164.62035998287806,-353.37910425495335,160.03203358902925,-148.2836443485544,-8640.799697670356
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Iranzo-Peri 1980-2000, Table 8 col 5",-712.7703485234108,286.8639787828122,-299.31642258906203,-674.1235154892136,286.88247758182797,-282.9797069547384,-16483.618297445002
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Iranzo-Peri sector-demand control, Table 9 col 4",-715.5257886410894,276.3188229616642,-300.4762120186901,-676.8789556068922,276.3380276822244,-284.13949638436645,-16550.994115225698
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Iranzo-Peri basic, read as years beyond 12 per worker",-92.05025090046249,44.69090302590216,-38.676517591950166,-53.40341786626526,44.809490441790274,-22.339801957626513,-1305.8164203746078
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Moretti college graduates' own, col 3 (2SLS age structure, 1980-90)",-287.3825186498976,120.93836723427484,-120.75375755312423,-248.73568561570033,120.9822395629814,-104.41704191880058,-6082.066571534827
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Moretti earnings-weighted, col 3 (2SLS age structure, 1980-90), 1980-1990 weights",-540.6526561812542,152.05263300878863,-227.18303407343518,-502.00582314705696,152.0875301439525,-210.84631843911154,-12275.009225639706
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Moretti earnings-weighted, col 3 (2SLS age structure, 1980-90), 2024 others weights",-427.2075784683725,137.34506204073156,-179.51009398240674,-388.56074543417526,137.3836951292063,-163.17337834808308,-9501.058583395647
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Moretti college graduates' own, col 4 (2SLS age structure, Katz-Murphy, 1980-90)",-154.67789118359875,124.0181297476918,-64.99189363985325,-116.03105814940152,124.06091296817713,-48.65517800552959,-2837.182844445638
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Moretti earnings-weighted, col 4 (2SLS age structure, Katz-Murphy, 1980-90), 1980-1990 weights",-399.5743300488693,150.35242563178738,-167.8980391984007,-360.92749701467204,150.38771729680738,-151.56132356407704,-8825.372438646622
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Moretti earnings-weighted, col 4 (2SLS age structure, Katz-Murphy, 1980-90), 2024 others weights",-287.9051185189931,137.39227907185284,-120.97335620024955,-249.25828548479586,137.4308988871869,-104.6366405659259,-6094.845144847484
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Moretti college graduates' own, col 6 (2SLS land grant, 1990)",-181.57131960960476,64.07388870726874,-76.29219559346753,-142.9244865754075,64.15665853560145,-59.95547995914387,-3494.7789654802746
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Moretti earnings-weighted, col 6 (2SLS land grant, 1990), 1990 weights",-248.40728593339742,63.63971692024479,-104.37630342876993,-209.76045289920017,63.72305069651949,-88.03958779444628,-5129.04706636796
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Moretti earnings-weighted, col 6 (2SLS land grant, 1990), 2024 others weights",-227.27136220875357,63.61520576507369,-95.49503917184933,-188.62452917455636,63.698571608121384,-79.15832353752567,-4612.233024080608
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Moretti college graduates' own, col 8 (2SLS land grant, 1980)",-147.98062146510793,56.88475988291213,-62.177795051780045,-109.3337884309107,56.97797405418055,-45.84107941745639,-2673.4217010674465
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Moretti earnings-weighted, col 8 (2SLS land grant, 1980), 1980 weights",-199.42312277777145,52.26450019063034,-83.79336710225897,-160.77628974357424,52.365939317066605,-67.45665146793532,-3931.2899350340263
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Moretti earnings-weighted, col 8 (2SLS land grant, 1980), 2024 others weights",-176.94190267528955,53.5739148967094,-74.34696212401887,-138.2950696410923,53.672879350209676,-58.01024648969522,-3381.5808053039436
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Moretti plant productivity 0.5 per unit college share, as wages at labour share 0.7",-237.3271003124553,,-99.72042869641447,-198.68026727825804,3.2578551812968755,-83.38371306209082,-4858.115187796857
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Moretti plant productivity 0.7 per unit college share, as wages at labour share 0.7",-336.01671101084133,,-141.1902011650162,-297.3698779766441,3.2578551812968755,-124.85348553069254,-7271.266242904457
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Moretti NLSY base case (Table 2 col 6), net of CES sigma 2",-327.0567079336281,115.05381339591784,-137.42511914057013,-288.40987489943086,115.09992874595964,-121.08840350624648,-7052.176910941998
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Moretti NLSY base case (Table 2 col 6), net of CES sigma 1.5",-292.8320120909236,114.16660488183426,-123.04365921301631,-254.18517905672638,114.21307845701018,-106.70694357869266,-6215.317181745502
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Moretti NLSY base case (Table 2 col 6), net of CES sigma 2.5",-347.7191589746396,115.59045342910734,-146.10770134893215,-309.07232594044234,115.6363547692893,-129.7709857146085,-7557.413634218904
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Moretti NLSY individual x city effects (col 4), net of CES sigma 2",-261.31484878462055,109.91559023612294,-109.80005943439161,-222.6680157504233,109.96386041485442,-93.46334380006796,-5444.66183769876
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Moretti NLSY individual x city effects (col 4), net of CES sigma 1.5",-227.59593017716358,109.07183200781922,-95.63142140080365,-188.94909714296637,109.12047542933563,-79.29470576647999,-4620.169336017398
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Moretti NLSY individual x city effects (col 4), net of CES sigma 2.5",-281.67137657258587,110.42593931038196,-118.35391414324343,-243.02454353838863,110.47398649891504,-102.01719850891978,-5942.418148238741
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"CRY college gradient net of CES, sigma 2, CRY-implied weights [central]",-24.92909982784804,34.723608330170656,-10.465694100549289,13.717733206349187,34.87610350726411,5.871021533774364,335.4249968799144
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"CRY college gradient net of CES, sigma 1.5, CRY-implied weights",3.7775109827132782,34.514585053525636,1.5858629293420299,42.42434401691051,34.66799967981075,17.922578563665684,1037.3569193573649
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"CRY college gradient net of CES, sigma 2.5, CRY-implied weights",-42.23650710025518,34.84982923736701,-17.731699098912774,-3.5896740660579525,35.00177450152983,-1.3949834645891208,-87.7744445306825
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"CRY college gradient net of CES, no CES term (upper bound), CRY-implied weights",-112.09868123244232,35.36083883944319,-47.06158322472103,-73.45184819824509,35.510597626784275,-30.72486759039738,-1796.039154728342
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"CRY college gradient net of CES, sigma 2, employment weights",-12.158791182036447,34.630572014602556,-5.104475938261012,26.488041852160784,34.783475077123576,11.232239696062642,647.6836385404993
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"CRY college gradient net of CES, sigma 1.5, employment weights",20.69459245527049,34.39159967244813,8.687921439034008,59.341425489467724,34.5455604732683,25.02463707335766,1451.012143204654
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"CRY college gradient net of CES, sigma 2.5, employment weights",-31.98038730702802,34.7750144870437,-13.42596569540717,6.666445727169208,34.927285221677366,2.9107499389164833,163.00743742420104
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"CRY college gradient net of CES, sigma 2, CRY-implied weights, weight's SE included",-24.92909982784804,115.728662205037,-10.465694100549289,13.717733206349187,115.77450874933507,5.871021533774364,335.4249968799144
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Glaeser-Resseger BA share, net of CES sigma 2",-37.62019791666174,42.680322225266806,-15.89259950863527,1.0266351175354913,42.80448020517136,0.44411612568838343,25.103205895327353
"CRY place effect by education, conditional on college share [central]",38.64683303419723,3.2578551812968755,16.336715634323653,"Glaeser-Resseger BA share, no CES term",-158.11730804924272,44.11439044045932,-66.52429675531627,-119.4704750150455,44.2345234439752,-50.18758112099262,-2921.283211034878
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Ciccone-Peri city, Table 4 col 2",11.069949280063687,46.993188924622025,4.6477215484588354,44.39609211029921,47.0772348662052,18.629396467827572,1085.5699577744388
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Ciccone-Peri city, Table 4 col 1",-38.950127812072026,83.81418194662915,-16.35333924109855,-5.623984981836507,83.86133395507899,-2.3716643217298135,-137.51726444949904
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Ciccone-Peri city, Table 4 col 4 (experience control)",27.626297832874656,49.58307048304994,11.598882016840088,60.952440663110174,49.6627336729436,25.580556936208822,1490.4045669720444
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Ciccone-Peri city, white males, Table 5 col 2",2.7699218224019675,58.15327504764135,1.1629538914203632,36.09606465263749,58.22121293917926,15.144628810789099,882.6183008052824
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Acemoglu-Angrist state IV (QOB, CA and CL)",-11.095951392550628,97.21274273253036,-4.658653263897164,22.23019143768489,97.25339884509827,9.323021655471571,543.5709954013481
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,Acemoglu-Angrist state IV (QOB and CA),-47.338363280887876,120.35473137276078,-19.875191067508002,-14.012220450652357,120.38757245310678,-5.893516148139266,-342.6257771776276
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Iranzo-Peri basic, Table 8 col 1",-392.0259372891506,159.99886922806013,-164.62035998287806,-358.69979445891505,160.02357448701272,-150.6386850635093,-8770.900820663242
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Iranzo-Peri 1980-2000, Table 8 col 5",-712.7703485234108,286.8639787828122,-299.31642258906203,-679.4442056931753,286.87775891561955,-285.3347476696933,-16613.71942043789
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Iranzo-Peri sector-demand control, Table 9 col 4",-715.5257886410894,276.3188229616642,-300.4762120186901,-682.1996458108539,276.33312895898337,-286.49453709932135,-16681.095238218582
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Iranzo-Peri basic, read as years beyond 12 per worker",-92.05025090046249,44.69090302590216,-38.676517591950166,-58.72410807022697,44.779270322474204,-24.69484267258143,-1435.917543367495
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Moretti college graduates' own, col 3 (2SLS age structure, 1980-90)",-287.3825186498976,120.93836723427484,-120.75375755312423,-254.05637581966207,120.97104986993767,-106.7720826337555,-6212.167694527715
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Moretti earnings-weighted, col 3 (2SLS age structure, 1980-90), 1980-1990 weights",-540.6526561812542,152.05263300878863,-227.18303407343518,-507.32651335101866,152.07862914376886,-213.20135915406644,-12405.110348632594
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Moretti earnings-weighted, col 3 (2SLS age structure, 1980-90), 2024 others weights",-427.2075784683725,137.34506204073156,-179.51009398240674,-393.88143563813696,137.37384141209355,-165.528419063038,-9631.159706388535
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Moretti college graduates' own, col 4 (2SLS age structure, Katz-Murphy, 1980-90)",-154.67789118359875,124.0181297476918,-64.99189363985325,-121.35174835336323,124.05000098128959,-51.01021872048451,-2967.283967438525
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Moretti earnings-weighted, col 4 (2SLS age structure, Katz-Murphy, 1980-90), 1980-1990 weights",-399.5743300488693,150.35242563178738,-167.8980391984007,-366.24818721863375,150.37871568378546,-153.91636427903197,-8955.473561639508
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Moretti earnings-weighted, col 4 (2SLS age structure, Katz-Murphy, 1980-90), 2024 others weights",-287.9051185189931,137.39227907185284,-120.97335620024955,-254.5789756887576,137.42104855479934,-106.99168128088081,-6224.9462678403725
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Moretti college graduates' own, col 6 (2SLS land grant, 1990)",-181.57131960960476,64.07388870726874,-76.29219559346753,-148.24517677936925,64.13555528265182,-62.31052067409879,-3624.8800884731622
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Moretti earnings-weighted, col 6 (2SLS land grant, 1990), 1990 weights",-248.40728593339742,63.63971692024479,-104.37630342876993,-215.0811431031619,63.70180379731424,-90.3946285094012,-5259.148189360847
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Moretti earnings-weighted, col 6 (2SLS land grant, 1990), 2024 others weights",-227.27136220875357,63.61520576507369,-95.49503917184933,-193.94521937851806,63.67731654109878,-81.51336425248059,-4742.334147073495
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Moretti college graduates' own, col 8 (2SLS land grant, 1980)",-147.98062146510793,56.88475988291213,-62.177795051780045,-114.65447863487242,56.954210944224286,-48.19612013241131,-2803.5228240603337
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Moretti earnings-weighted, col 8 (2SLS land grant, 1980), 1980 weights",-199.42312277777145,52.26450019063034,-83.79336710225897,-166.09697994753594,52.34008232243266,-69.81169218289023,-4061.391058026913
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Moretti earnings-weighted, col 8 (2SLS land grant, 1980), 2024 others weights",-176.94190267528955,53.5739148967094,-74.34696212401887,-143.61575984505404,53.647652275775215,-60.36528720465014,-3511.6819282968313
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Moretti plant productivity 0.5 per unit college share, as wages at labour share 0.7",-237.3271003124553,,-99.72042869641447,-204.00095748221977,2.8118032190443745,-85.73875377704573,-4988.216310789745
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Moretti plant productivity 0.7 per unit college share, as wages at labour share 0.7",-336.01671101084133,,-141.1902011650162,-302.6905681806058,2.8118032190443745,-127.20852624564745,-7401.367365897343
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Moretti NLSY base case (Table 2 col 6), net of CES sigma 2",-327.0567079336281,115.05381339591784,-137.42511914057013,-293.73056510339256,115.08816713409469,-123.44344422120139,-7182.2780339348865
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Moretti NLSY base case (Table 2 col 6), net of CES sigma 1.5",-292.8320120909236,114.16660488183426,-123.04365921301631,-259.5058692606881,114.20122550825577,-109.06198429364758,-6345.418304738389
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Moretti NLSY base case (Table 2 col 6), net of CES sigma 2.5",-347.7191589746396,115.59045342910734,-146.10770134893215,-314.39301614440404,115.62464772395745,-132.1260264295634,-7687.514757211791
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Moretti NLSY individual x city effects (col 4), net of CES sigma 2",-261.31484878462055,109.91559023612294,-109.80005943439161,-227.98870595438504,109.95154939471254,-95.81838451502287,-5574.762960691647
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Moretti NLSY individual x city effects (col 4), net of CES sigma 1.5",-227.59593017716358,109.07183200781922,-95.63142140080365,-194.26978734692807,109.1080692473502,-81.6497464814349,-4750.270459010285
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Moretti NLSY individual x city effects (col 4), net of CES sigma 2.5",-281.67137657258587,110.42593931038196,-118.35391414324343,-248.34523374235036,110.46173233261729,-104.37223922387469,-6072.519271231628
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"CRY college gradient net of CES, sigma 2, CRY-implied weights [central]",-24.92909982784804,34.723608330170656,-10.465694100549289,8.397043002387477,34.83726758529901,3.515980818819447,205.32387388702725
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"CRY college gradient net of CES, sigma 1.5, CRY-implied weights",3.7775109827132782,34.514585053525636,1.5858629293420299,37.1036538129488,34.62893037273435,15.567537848710765,907.2557963644779
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"CRY college gradient net of CES, sigma 2.5, CRY-implied weights",-42.23650710025518,34.84982923736701,-17.731699098912774,-8.910364270019663,34.96307817135484,-3.750024179544038,-217.87556752356966
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"CRY college gradient net of CES, no CES term (upper bound), CRY-implied weights",-112.09868123244232,35.36083883944319,-47.06158322472103,-78.7725384022068,35.47245636788778,-33.0799083053523,-1926.1402777212293
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"CRY college gradient net of CES, sigma 2, employment weights",-12.158791182036447,34.630572014602556,-5.104475938261012,21.167351648199073,34.744535619305694,8.877198981107725,517.5825155476123
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"CRY college gradient net of CES, sigma 1.5, employment weights",20.69459245527049,34.39159967244813,8.687921439034008,54.02073528550601,34.506352536490475,22.669596358402742,1320.9110202117665
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"CRY college gradient net of CES, sigma 2.5, employment weights",-31.98038730702802,34.7750144870437,-13.42596569540717,1.3457555232074974,34.888506272363216,0.555709223961566,32.906314431313916
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"CRY college gradient net of CES, sigma 2, CRY-implied weights, weight's SE included",-24.92909982784804,115.728662205037,-10.465694100549289,8.397043002387477,115.76281567545853,3.515980818819447,205.32387388702725
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Glaeser-Resseger BA share, net of CES sigma 2",-37.62019791666174,42.680322225266806,-15.89259950863527,-4.294055086426219,42.772843517765246,-1.9109245892665339,-104.99791709755979
"CRY place effect, pooled, conditional on college share",33.32614283023552,2.8118032190443745,13.981674919368736,"Glaeser-Resseger BA share, no CES term",-158.11730804924272,44.11439044045932,-66.52429675531627,-124.79116521900721,44.20391024870896,-52.542621835947536,-3051.3843340277654
"CRY place effect by education, unconditional",51.623396858248185,3.3213722427263455,21.821994996668458,"Ciccone-Peri city, Table 4 col 2",11.069949280063687,46.993188924622025,4.6477215484588354,62.693346138311874,47.11041624609117,26.469716545127294,1532.973058777781
"CRY place effect by education, unconditional",51.623396858248185,3.3213722427263455,21.821994996668458,"Ciccone-Peri city, Table 4 col 1",-38.950127812072026,83.81418194662915,-16.35333924109855,12.67326904617616,83.87996548018728,5.468655755569909,309.8858365538433
"CRY place effect by education, unconditional",51.623396858248185,3.3213722427263455,21.821994996668458,"Ciccone-Peri city, Table 4 col 4 (experience control)",27.626297832874656,49.58307048304994,11.598882016840088,79.24969469112284,49.694188715601854,33.420877013508544,1937.8076679753867
"CRY place effect by education, unconditional",51.623396858248185,3.3213722427263455,21.821994996668458,"Ciccone-Peri city, white males, Table 5 col 2",2.7699218224019675,58.15327504764135,1.1629538914203632,54.393318680650154,58.248046425106644,22.984948888088823,1330.0214018086247
"CRY place effect by education, unconditional",51.623396858248185,3.3213722427263455,21.821994996668458,"Acemoglu-Angrist state IV (QOB, CA and CL)",-11.095951392550628,97.21274273253036,-4.658653263897164,40.527445465697554,97.26946521471108,17.163341732771293,990.9740964046904
"CRY place effect by education, unconditional",51.623396858248185,3.3213722427263455,21.821994996668458,Acemoglu-Angrist state IV (QOB and CA),-47.338363280887876,120.35473137276078,-19.875191067508002,4.285033577360309,120.40055181511487,1.9468039291604562,104.77732382571482
"CRY place effect by education, unconditional",51.623396858248185,3.3213722427263455,21.821994996668458,"Iranzo-Peri basic, Table 8 col 1",-392.0259372891506,159.99886922806013,-164.62035998287806,-340.4025404309024,160.0333392385244,-142.7983649862096,-8323.497719659901
"CRY place effect by education, unconditional",51.623396858248185,3.3213722427263455,21.821994996668458,"Iranzo-Peri 1980-2000, Table 8 col 5",-712.7703485234108,286.8639787828122,-299.31642258906203,-661.1469516651626,286.88320591606697,-277.49442759239355,-16166.316319434547
"CRY place effect by education, unconditional",51.623396858248185,3.3213722427263455,21.821994996668458,"Iranzo-Peri sector-demand control, Table 9 col 4",-715.5257886410894,276.3188229616642,-300.4762120186901,-663.9023917828413,276.3387838080176,-278.6542170220216,-16233.692137215243
"CRY place effect by education, unconditional",51.623396858248185,3.3213722427263455,21.821994996668458,"Iranzo-Peri basic, read as years beyond 12 per worker",-92.05025090046249,44.69090302590216,-38.676517591950166,-40.4268540422143,44.8141531979055,-16.854522595281708,-988.5144423641526
"CRY place effect by education, unconditional",51.623396858248185,3.3213722427263455,21.821994996668458,"Moretti college graduates' own, col 3 (2SLS age structure, 1980-90)",-287.3825186498976,120.93836723427484,-120.75375755312423,-235.7591217916494,120.98396663553015,-98.93176255645577,-5764.764593524372
"CRY place effect by education, unconditional",51.623396858248185,3.3213722427263455,21.821994996668458,"Moretti earnings-weighted, col 3 (2SLS age structure, 1980-90), 1980-1990 weights",-540.6526561812542,152.05263300878863,-227.18303407343518,-489.02925932300604,152.08890399526229,-205.36103907676673,-11957.707247629252
"CRY place effect by education, unconditional",51.623396858248185,3.3213722427263455,21.821994996668458,"Moretti earnings-weighted, col 3 (2SLS age structure, 1980-90), 2024 others weights",-427.2075784683725,137.34506204073156,-179.51009398240674,-375.58418161012435,137.3852160188539,-157.6880989857383,-9183.756605385193
"CRY place effect by education, unconditional",51.623396858248185,3.3213722427263455,21.821994996668458,"Moretti college graduates' own, col 4 (2SLS age structure, Katz-Murphy, 1980-90)",-154.67789118359875,124.0181297476918,-64.99189363985325,-103.05449432535056,124.06259718259194,-43.16989864318479,-2519.8808664351823
"CRY place effect by education, unconditional",51.623396858248185,3.3213722427263455,21.821994996668458,"Moretti earnings-weighted, col 4 (2SLS age structure, Katz-Murphy, 1980-90), 1980-1990 weights",-399.5743300488693,150.35242563178738,-167.8980391984007,-347.9509331906211,150.38910667643754,-146.07604420173226,-8508.070460636167
"CRY place effect by education, unconditional",51.623396858248185,3.3213722427263455,21.821994996668458,"Moretti earnings-weighted, col 4 (2SLS age structure, Katz-Murphy, 1980-90), 2024 others weights",-287.9051185189931,137.39227907185284,-120.97335620024955,-236.28172166074492,137.43241925445628,-99.1513612035811,-5777.54316683703
"CRY place effect by education, unconditional",51.623396858248185,3.3213722427263455,21.821994996668458,"Moretti college graduates' own, col 6 (2SLS land grant, 1990)",-181.57131960960476,64.07388870726874,-76.29219559346753,-129.94792275135657,64.1599152715012,-54.47020059679907,-3177.47698746982
"CRY place effect by education, unconditional",51.623396858248185,3.3213722427263455,21.821994996668458,"Moretti earnings-weighted, col 6 (2SLS land grant, 1990), 1990 weights",-248.40728593339742,63.63971692024479,-104.37630342876993,-196.78388907514923,63.72632959196413,-82.55430843210146,-4811.745088357505
"CRY place effect by education, unconditional",51.623396858248185,3.3213722427263455,21.821994996668458,"Moretti earnings-weighted, col 6 (2SLS land grant, 1990), 2024 others weights",-227.27136220875357,63.61520576507369,-95.49503917184933,-175.6479653505054,63.70185176356664,-73.67304417518088,-4294.931046070153
"CRY place effect by education, unconditional",51.623396858248185,3.3213722427263455,21.821994996668458,"Moretti college graduates' own, col 8 (2SLS land grant, 1980)",-147.98062146510793,56.88475988291213,-62.177795051780045,-96.35722460685975,56.981641082995516,-40.35580005511159,-2356.119723056991
"CRY place effect by education, unconditional",51.623396858248185,3.3213722427263455,21.821994996668458,"Moretti earnings-weighted, col 8 (2SLS land grant, 1980), 1980 weights",-199.42312277777145,52.26450019063034,-83.79336710225897,-147.79972591952327,52.36992928915555,-61.97137210559051,-3613.9879570235703
"CRY place effect by education, unconditional",51.623396858248185,3.3213722427263455,21.821994996668458,"Moretti earnings-weighted, col 8 (2SLS land grant, 1980), 2024 others weights",-176.94190267528955,53.5739148967094,-74.34696212401887,-125.31850581704137,53.67677217320928,-52.524967127350415,-3064.2788272934886
